filename,g_point_ms,offset_ms,final_start_ms
Violin.pizz.ff.sulG.B4.stereo.wav,34,25,59
Violin.pizz.ff.sulG.Ab3.stereo.wav,81,25,106
Violin.pizz.ff.sulA.D6.stereo.wav,127,25,152
Violin.pizz.ff.sulA.C5.stereo.wav,185,25,210
Violin.pizz.ff.sulA.Eb6.stereo.wav,81,25,106
Violin.pizz.ff.sulD.B5.stereo.wav,69,25,94
Violin.pizz.ff.sulA.A4.stereo.wav,34,25,59
Violin.pizz.ff.sulG.B3.stereo.wav,81,25,106
Violin.pizz.ff.sulD.Bb5.stereo.wav,139,25,164
Violin.pizz.ff.sulA.Db5.stereo.wav,174,25,199
Violin.pizz.ff.sulE.Db6.stereo.wav,34,25,59
Violin.pizz.ff.sulD.Db5.stereo.wav,197,25,222
Violin.pizz.ff.sulE.Gb5.stereo.wav,34,25,59
Violin.pizz.ff.sulA.F5.stereo.wav,127,25,152
Violin.pizz.ff.sulA.Gb5.stereo.wav,139,25,164
Violin.pizz.ff.sulD.G4.stereo.wav,162,25,187
Violin.pizz.ff.sulA.Bb5.stereo.wav,81,25,106
Violin.pizz.ff.sulA.F6.stereo.wav,127,25,152
Violin.pizz.ff.sulG.Db4.stereo.wav,69,25,94
Violin.pizz.ff.sulD.Bb4.stereo.wav,69,25,94
Violin.pizz.ff.sulE.Eb6.stereo.wav,34,25,59
Violin.pizz.ff.sulA.Bb4.stereo.wav,197,25,222
Violin.pizz.ff.sulG.E5.stereo.wav,104,25,129
Violin.pizz.ff.sulD.Eb5.stereo.wav,127,25,152
Violin.pizz.ff.sulG.Eb4.stereo.wav,104,25,129
Violin.pizz.ff.sulD.Ab4.stereo.wav,116,25,141
Violin.pizz.ff.sulD.Gb4.stereo.wav,150,25,175
Violin.pizz.ff.sulA.Eb5.stereo.wav,162,25,187
Violin.pizz.ff.sulD.A4.stereo.wav,127,25,152
Violin.pizz.ff.sulE.Ab5.stereo.wav,34,25,59
Violin.pizz.ff.sulE.C6.stereo.wav,34,25,59
Violin.pizz.ff.sulD.Eb4.stereo.wav,162,25,187
Violin.pizz.ff.sulG.G4.stereo.wav,34,25,59
Violin.pizz.ff.sulG.D4.stereo.wav,104,25,129
Violin.pizz.ff.sulE.F5.stereo.wav,34,25,59
Violin.pizz.ff.sulD.Gb5.stereo.wav,92,25,117
Violin.pizz.ff.sulD.F4.stereo.wav,150,25,175
Violin.pizz.ff.sulG.C5.stereo.wav,116,25,141
Violin.pizz.ff.sulE.E6.stereo.wav,34,25,59
Violin.pizz.ff.sulG.F4.stereo.wav,116,25,141
Violin.pizz.ff.sulG.Eb5.stereo.wav,69,25,94
Violin.pizz.ff.sulD.F5.stereo.wav,46,25,71
Violin.pizz.ff.sulD.E5.stereo.wav,104,25,129
Violin.pizz.ff.sulA.E5.stereo.wav,58,25,83
Violin.pizz.ff.sulD.A5.stereo.wav,34,25,59
Violin.pizz.ff.sulA.Ab5.stereo.wav,46,25,71
Violin.pizz.ff.sulG.Bb3.stereo.wav,92,25,117
Violin.pizz.ff.sulE.E5.stereo.wav,34,25,59
Violin.pizz.ff.sulD.B4.stereo.wav,116,25,141
Violin.pizz.ff.sulA.B5.stereo.wav,174,25,199
Violin.pizz.ff.sulD.G5.stereo.wav,58,25,83
Violin.pizz.ff.sulG.G3.stereo.wav,116,25,141
Violin.pizz.ff.sulG.E4.stereo.wav,185,25,210
Violin.pizz.ff.sulG.C4.stereo.wav,92,25,117
Violin.pizz.ff.sulA.B4.stereo.wav,34,25,59
Violin.pizz.ff.sulD.C5.stereo.wav,116,25,141
Violin.pizz.ff.sulA.A5.stereo.wav,46,25,71
Violin.pizz.ff.sulE.Bb5.stereo.wav,34,25,59
Violin.pizz.ff.sulD.E4.stereo.wav,104,25,129
Violin.pizz.ff.sulG.A4.stereo.wav,58,25,83
Violin.pizz.ff.sulG.Gb4.stereo.wav,46,25,71
Violin.pizz.ff.sulG.A3.stereo.wav,69,25,94
Violin.pizz.ff.sulE.A5.stereo.wav,34,25,59
Violin.pizz.ff.sulE.G5.stereo.wav,34,25,59
Violin.pizz.ff.sulA.D5.stereo.wav,58,25,83
Violin.pizz.ff.sulG.D5.stereo.wav,127,25,152
Violin.pizz.ff.sulA.E6.stereo.wav,81,25,106
Violin.pizz.ff.sulD.D4.stereo.wav,162,25,187
Violin.pizz.ff.sulE.D6.stereo.wav,34,25,59
Violin.pizz.ff.sulD.C6.stereo.wav,46,25,71
Violin.pizz.ff.sulA.C6.stereo.wav,58,25,83
Violin.pizz.ff.sulE.B5.stereo.wav,34,25,59
Violin.pizz.ff.sulG.Ab4.stereo.wav,46,25,71
Violin.pizz.ff.sulG.Bb4.stereo.wav,58,25,83
Violin.pizz.ff.sulD.Ab5.stereo.wav,46,25,71
Violin.pizz.ff.sulA.Db6.stereo.wav,81,25,106
Violin.pizz.ff.sulG.Db5.stereo.wav,81,25,106
Violin.pizz.ff.sulD.D5.stereo.wav,139,25,164
Violin.pizz.ff.sulA.G5.stereo.wav,58,25,83
Violin.pizz.ff.sulE.G6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.Eb7.stereo.wav,34,25,59
Violin.pizz.ff.sulE.F6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.Gb6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.Ab6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.Db7.stereo.wav,34,25,59
Violin.pizz.ff.sulE.A6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.B6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.C7.stereo.wav,34,25,59
Violin.pizz.ff.sulE.Bb6.stereo.wav,34,25,59
Violin.pizz.ff.sulE.D7.stereo.wav,34,25,59
Violin.pizz.ff.sulE.E7.stereo.wav,34,25,59
